,Med_School,MCAT,GPA
94,"University of California, San Francisco School of Medicine",518.0,3.85
3,Boston University School of Medicine,518.0,3.84
123,University of Pittsburgh School of Medicine,518.0,3.88
18,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,518.0,3.81
2,Baylor College of Medicine,518.0,3.91
16,"David Geffen School of Medicine at University of California, Los Angeles",518.0,3.86
111,University of Michigan Medical School,519.0,3.89
74,Stanford University School of Medicine,519.0,3.9
32,Harvard Medical School,519.0,3.93
132,University of Texas Southwestern Medical School,519.0,3.93
34,Icahn School of Medicine at Mount Sinai,519.0,3.88
17,Dell Medical School - The University of Texas at Austin ,519.0,3.89
134,University of Virginia School of Medicine,520.0,3.95
145,Weill Cornell Medicine,520.0,3.9
60,Northwestern University Feinberg School of Medicine,520.0,3.91
46,Mayo Clinic Alix School of Medicine,520.0,3.91
12,Columbia University Vagelos College of Physicians and Surgeons,521.0,3.9
137,Vanderbilt University School of Medicine,521.0,3.93
37,Johns Hopkins University School of Medicine,521.0,3.94
96,University of Chicago Division of the Biological Sciences Pritzker School of Medicine,521.0,3.92
65,Perelman School of Medicine at the University of Pennsylvania,521.0,3.92
143,Washington University School of Medicine in St. Louis,522.0,3.93
57,New York University Grossman School of Medicine,522.0,3.95
149,Yale School of Medicine,522.0,3.92
